0.086	-2.5	0.858	0.936	0.828	0.690	-2.5	0.389
-0.042	-2.5	0.788	0.875	0.721	0.631	-2.5	-1.227
-0.144	-2.5	0.726	0.814	-0.506	0.697	-2.5	0.490
-0.110	-2.5	0.739	0.977	0.870	0.808	-2.5	0.604
-2.140	-2.5	-0.478	0.975	0.865	0.984	-2.5	0.852
-0.037	-2.5	0.801	0.827	0.912	0.857	-2.5	0.674
0.124	-2.5	-0.590	-0.411	-0.461	-1.014	-2.5	0.581
0.139	-2.5	0.882	0.958	0.847	0.727	-2.5	0.524
0.478	-2.5	0.830	0.911	0.782	0.720	-2.5	0.504	
0.215	-2.5	0.814	0.990	0.882	0.826	-2.5	0.637
